Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
3/30/2024,3/27/2024,Debit,-60.00000,,1322026857,Ext Credit Card Debit CLANCYS                  WILSONVILLE  OR,,Credit Card,9715.69000,,Ext Credit Card Debit CLANCYS                  WILSONVILLE  OR
3/30/2024,3/28/2024,Debit,-19.20000,,1322026858,Ext Credit Card Debit TST* PETITE PROVENCE A   PORTLAND     OR,,Credit Card,9655.69000,,Ext Credit Card Debit TST* PETITE PROVENCE A   PORTLAND     OR
3/29/2024,3/27/2024,Debit,-39.00000,,1322026859,Ext Credit Card Debit ALS GARDEN AND HOME OF   SHERWOOD     OR,,Credit Card,9636.49000,,Ext Credit Card Debit ALS GARDEN AND HOME OF   SHERWOOD     OR
3/29/2024,3/27/2024,Debit,-33.99000,,1322026855,Ext Credit Card Debit PETCO 0251               BEAVERTON    OR,Pets,Credit Card,9597.49000,,Ext Credit Card Debit PETCO 0251               BEAVERTON    OR
3/29/2024,3/28/2024,Debit,-1099.00000,,1322026860,Ext Credit Card Debit APPLE.COM/US             800-676-2775 CA,,Credit Card,9563.50000,,Ext Credit Card Debit APPLE.COM/US             800-676-2775 CA
3/27/2024,3/25/2024,Debit,-4.00000,,1319527286,"Ext Credit Card Debit GITHUB, INC.             SAN FRANCISCOCA",,Credit Card,8464.50000,,"Ext Credit Card Debit GITHUB, INC.             SAN FRANCISCOCA"
3/27/2024,3/26/2024,Debit,-9.99000,,1319527287,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA,,Credit Card,8460.50000,,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA
3/26/2024,3/25/2024,Debit,-16.98000,,1319334774,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA,,Credit Card,8450.51000,,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA
3/25/2024,3/23/2024,Debit,-49.99000,,1319334775,Ext Credit Card Debit IGG SOFT. BANKTIVITY     KEIZER       OR,,Credit Card,8433.53000,,Ext Credit Card Debit IGG SOFT. BANKTIVITY     KEIZER       OR
3/25/2024,3/23/2024,Debit,-43.44000,,1319334776,Ext Credit Card Debit FRED MEYER FUEL 9035     BEAVERTON    OR,,Credit Card,8383.54000,,Ext Credit Card Debit FRED MEYER FUEL 9035     BEAVERTON    OR
3/25/2024,3/23/2024,Debit,-10.89000,,1319334777,Ext Credit Card Debit AMZN MKTP US*RH3Y40N61   AMZN.COM/BILLWA,,Credit Card,8340.10000,,Ext Credit Card Debit AMZN MKTP US*RH3Y40N61   AMZN.COM/BILLWA
3/23/2024,3/22/2024,Debit,-14.07000,,1319334778,Ext Credit Card Debit NZPLANETTSHIRT           UK           LN,,Credit Card,8329.21000,,Ext Credit Card Debit NZPLANETTSHIRT           UK           LN
3/23/2024,3/21/2024,Debit,-16.68000,,1319334779,Ext Credit Card Debit SQ *SLOW RISE BAKEHOUS   FOREST GROVE OR,,Credit Card,8315.14000,,Ext Credit Card Debit SQ *SLOW RISE BAKEHOUS   FOREST GROVE OR
3/22/2024,3/20/2024,Debit,-3.99000,,1318074794,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA,,Credit Card,8298.46000,,Ext Credit Card Debit APPLE.COM/BILL           866-712-7753 CA
3/22/2024,3/20/2024,Debit,-4.60000,,1318074795,Ext Credit Card Debit SQ *BRICKHAUS COFFEE     BEAVERTON    OR,,Credit Card,8294.47000,,Ext Credit Card Debit SQ *BRICKHAUS COFFEE     BEAVERTON    OR
3/21/2024,3/20/2024,Debit,-5.39000,,1318074793,Ext Credit Card Debit AMAZON RET* 112-747168   SEATTLE      WA,Shopping,Credit Card,8289.87000,,Ext Credit Card Debit AMAZON RET* 112-747168   SEATTLE      WA
